text,transformed_text,predicted_label
"nice hotel expensive parking got good deal stay hotel anniversary, arrived late evening took advice previous reviews did valet parking, check quick easy, little disappointed non-existent view room room clean nice size, bed comfortable woke stiff neck high pillows, not soundproof like heard music room night morning loud bangs doors opening closing hear people talking hallway, maybe just noisy neighbors, aveda bath products nice, did not goldfish stay nice touch taken advantage staying longer, location great walking distance shopping, overall nice experience having pay 40 parking night,  ",nice hotel expens park got good deal stay hotel anniversari arriv late even took advic previou review valet park check quick easi littl disappoint view room room clean nice size bed comfort woke stiff neck high pillow soundproof like heard music room night morn loud bang door open close hear peopl talk hallway mayb noisi neighbor aveda bath product nice goldfish stay nice touch taken advantag stay longer locat great walk distanc shop overal nice experi pay 40 park night,0
"ok nothing special charge diamond member hilton decided chain shot 20th anniversary seattle, start booked suite paid extra website description not, suite bedroom bathroom standard hotel room, took printed reservation desk showed said things like tv couch ect desk clerk told oh mixed suites description kimpton website sorry free breakfast, got kidding, embassy suits sitting room bathroom bedroom unlike kimpton calls suite, 5 day stay offer correct false advertising, send kimpton preferred guest website email asking failure provide suite advertised website reservation description furnished hard copy reservation printout website desk manager duty did not reply solution, send email trip guest survey did not follow email mail, guess tell concerned guest.the staff ranged indifferent not helpful, asked desk good breakfast spots neighborhood hood told no hotels, gee best breakfast spots seattle 1/2 block away convenient hotel does not know exist, arrived late night 11 pm inside run bellman busy chating cell phone help bags.prior arrival emailed hotel inform 20th anniversary half really picky wanted make sure good, got nice email saying like deliver bottle champagne chocolate covered strawberries room arrival celebrate, told needed foam pillows, arrival no champagne strawberries no foam pillows great room view alley high rise building good not better housekeeping staff cleaner room property, impressed left morning shopping room got short trips 2 hours, beds comfortable.not good ac-heat control 4 x 4 inch screen bring green shine directly eyes night, light sensitive tape controls.this not 4 start hotel clean business hotel super high rates, better chain hotels seattle,  ",ok noth special charg diamond member hilton decid chain shot 20th anniversari seattl start book suit paid extra websit descript suit bedroom bathroom standard hotel room took print reserv desk show said thing like tv couch ect desk clerk told oh mix suit descript kimpton websit sorri free breakfast got kid embassi suit sit room bathroom bedroom unlik kimpton call suit 5 day stay offer correct fals advertis send kimpton prefer guest websit email ask failur provid suit advertis websit reserv descript furnish hard copi reserv printout websit desk manag duti repli solut send email trip guest survey follow email mail guess tell concern staff rang indiffer help ask desk good breakfast spot neighborhood hood told hotel gee best breakfast spot seattl block away conveni hotel know exist arriv late night 11 pm insid run bellman busi chate cell phone help arriv email hotel inform 20th anniversari half realli picki want make sure good got nice email say like deliv bottl champagn chocol cover strawberri room arriv celebr told need foam pillow arriv champagn strawberri foam pillow great room view alley high rise build good better housekeep staff cleaner room properti impress left morn shop room got short trip 2 hour bed good control 4 x 4 inch screen bring green shine directli eye night light sensit tape 4 start hotel clean busi hotel super high rate better chain hotel seattl,0
"nice rooms not 4* experience hotel monaco seattle good hotel n't 4* level.positives large bathroom mediterranean suite comfortable bed pillowsattentive housekeeping staffnegatives ac unit malfunctioned stay desk disorganized, missed 3 separate wakeup calls, concierge busy hard touch, did n't provide guidance special requests.tv hard use ipod sound dock suite non functioning. decided book mediterranean suite 3 night weekend stay 1st choice rest party filled, comparison w spent 45 night larger square footage room great soaking tub whirlpool jets nice shower.before stay hotel arrange car service price 53 tip reasonable driver waiting arrival.checkin easy downside room picked 2 person jacuzi tub no bath accessories salts bubble bath did n't stay, night got 12/1a checked voucher bottle champagne nice gesture fish waiting room, impression room huge open space felt room big, tv far away bed chore change channel, ipod dock broken disappointing.in morning way asked desk check thermostat said 65f 74 2 degrees warm try cover face night bright blue light kept, got room night no, 1st drop desk, called maintainence came look thermostat told play settings happy digital box wo n't work, asked wakeup 10am morning did n't happen, called later 6pm nap wakeup forgot, 10am wakeup morning yep forgotten.the bathroom facilities great room surprised room sold whirlpool bath tub n't bath amenities, great relax water jets going,  ",nice room 4 experi hotel monaco seattl good hotel 4 larg bathroom mediterranean suit comfort bed pillowsattent housekeep staffneg ac unit malfunct stay desk disorgan miss 3 separ wakeup call concierg busi hard touch provid guidanc special hard use ipod sound dock suit non function decid book mediterranean suit 3 night weekend stay 1st choic rest parti fill comparison w spent 45 night larger squar footag room great soak tub whirlpool jet nice stay hotel arrang car servic price 53 tip reason driver wait easi downsid room pick 2 person jacuzi tub bath accessori salt bubbl bath stay night got check voucher bottl champagn nice gestur fish wait room impress room huge open space felt room big tv far away bed chore chang channel ipod dock broken morn way ask desk check thermostat said 65f 74 2 degre warm tri cover face night bright blue light kept got room night 1st drop desk call maintain came look thermostat told play set happi digit box wo work ask wakeup 10am morn happen call later 6pm nap wakeup forgot 10am wakeup morn yep bathroom facil great room surpris room sold whirlpool bath tub bath amen great relax water jet go,0
"unique, great stay, wonderful time hotel monaco, location excellent short stroll main downtown shopping area, pet friendly room showed no signs animal hair smells, monaco suite sleeping area big striped curtains pulled closed nice touch felt cosy, goldfish named brandi enjoyed, did n't partake free wine coffee/tea service lobby thought great feature, great staff friendly, free wireless internet hotel worked suite 2 laptops, decor lovely eclectic mix pattens color palatte, animal print bathrobes feel like rock stars, nice did n't look like sterile chain hotel hotel personality excellent stay,  ",uniqu great stay wonder time hotel monaco locat excel short stroll main downtown shop area pet friendli room show sign anim hair smell monaco suit sleep area big stripe curtain pull close nice touch felt cosi goldfish name brandi enjoy partak free wine servic lobbi thought great featur great staff friendli free wireless internet hotel work suit 2 laptop decor love eclect mix patten color palatt anim print bathrob feel like rock star nice look like steril chain hotel hotel person excel stay,1
"great stay great stay, went seahawk game awesome, downfall view building did n't complain, room huge staff helpful, booked hotels website seahawk package, no charge parking got voucher taxi, problem taxi driver did n't want accept voucher barely spoke english, funny thing speak arabic called started making comments girlfriend cell phone buddy, took second realize just said fact speak language face priceless, ass told, said large city, told head doorman issue called cab company promply answer did n't, apologized offered pay taxi, bucks 2 miles stadium, game plan taxi return going humpin, great walk did n't mind, right christmas wonderful lights, homeless stowed away building entrances leave, police presence not greatest area stadium, activities 7 blocks pike street waterfront great coffee shops way, hotel mantained foyer awesome, wine tasting available evening, best dog, taking st. bernard time family, safes hotel located service desk room, bathroom huge jetted tub huge, funny house keeping walked girlfriend getting dressed, did n't hear knock doing turn service, screamed girlfriend screams hit floor laughing, started talking spanish worked, place recommend price, check online deals just good not better, besite contains deals vouchers travel websites n't tell,  ",great stay great stay went seahawk game awesom downfal view build complain room huge staff help book hotel websit seahawk packag charg park got voucher taxi problem taxi driver want accept voucher bare spoke english funni thing speak arab call start make comment girlfriend cell phone buddi took second realiz said fact speak languag face priceless ass told said larg citi told head doorman issu call cab compani prompli answer apolog offer pay taxi buck 2 mile stadium game plan taxi return go humpin great walk mind right christma wonder light homeless stow away build entranc leav polic presenc greatest area stadium activ 7 block pike street waterfront great coffe shop way hotel mantain foyer awesom wine tast avail even best dog take bernard time famili safe hotel locat servic desk room bathroom huge jet tub huge funni hous keep walk girlfriend get dress hear knock turn servic scream girlfriend scream hit floor laugh start talk spanish work place recommend price check onlin deal good better besit contain deal voucher travel websit tell,0
"love monaco staff husband stayed hotel crazy weekend attending memorial service best friend husband celebrating 12th wedding anniversary, talk mixed emotions, booked suite hotel monte carlos, loaned beautiful fan-tanned goldfish named joliet weekend visited dogs worked desk human companions, room decorated nicely couch used pillows, l'occitane bath amenities welcome sight, room quiet peaceful, wireless internet access wonderful server went morning leaving problems printing boarding passes, afternoon reception serves oenophile-satisfying wine australia scrumptious cookies, restaurant closed renovation stay finally ate food good drinks better, word caution restaurant larger person not sit booths wo n't fit, 5'6 125 lbs husband 5'9 175. table smack-against stomach couple inches space mighty uncomfortable patron larger pregnant, bad design opinion place decorated funky welcoming way metal wood handblown glass light fixtures expect seattle capital glass art industry, definitely stay reason,  ",love monaco staff husband stay hotel crazi weekend attend memori servic best friend husband celebr 12th wed anniversari talk mix emot book suit hotel mont carlo loan beauti goldfish name joliet weekend visit dog work desk human companion room decor nice couch use pillow bath amen welcom sight room quiet peac wireless internet access wonder server went morn leav problem print board pass afternoon recept serv wine australia scrumptiou cooki restaur close renov stay final ate food good drink better word caution restaur larger person sit booth wo fit 5 6 125 lb husband 5 9 tabl stomach coupl inch space mighti uncomfort patron larger pregnant bad design opinion place decor funki welcom way metal wood handblown glass light fixtur expect seattl capit glass art industri definit stay reason,0
"cozy stay rainy city, husband spent 7 nights monaco early january 2008. business trip chance come ride.we booked monte carlo suite proved comfortable longish stay, room 905 located street building, street noise not problem view interesting rooms building look dank alley midsection large office building, suite comfortable plenty room spread, bathroom attractive squeaky clean small comparison generous proportions sitting sleeping areas, lots comfortable seating options good lighting plenty storage clothing luggage, hotel staff friendly efficient, housekeeping staff did great job pleasant, requests responded quickly.the location quite good, easy walk pike street market seattle art museum notch shopping dining options.a positive experience,  ",cozi stay raini citi husband spent 7 night monaco earli januari busi trip chanc come book mont carlo suit prove comfort longish stay room 905 locat street build street nois problem view interest room build look dank alley midsect larg offic build suit comfort plenti room spread bathroom attract squeaki clean small comparison gener proport sit sleep area lot comfort seat option good light plenti storag cloth luggag hotel staff friendli effici housekeep staff great job pleasant request respond locat quit good easi walk pike street market seattl art museum notch shop dine posit experi,1
"excellent staff, housekeeping quality hotel chocked staff make feel home, experienced exceptional service desk staff concierge door men maid service needs work, maid failed tuck sheets foot bed instance soiled sheets used, staff quickley resolved soiled sheets issue, guess relates employee not reflection rest staff.we received excellent advice concierge regarding resturants area happy hour wine tasting nice touch staff went way make feel home.great location like close good food shopping took play 5th street theather well.pikes market pioneer square access mono rail short walking distance,  ",excel staff housekeep qualiti hotel chock staff make feel home experienc except servic desk staff concierg door men maid servic need work maid fail tuck sheet foot bed instanc soil sheet use staff quickley resolv soil sheet issu guess relat employe reflect rest receiv excel advic concierg regard restur area happi hour wine tast nice touch staff went way make feel locat like close good food shop took play 5th street theather market pioneer squar access mono rail short walk distanc,0
"hotel stayed hotel monaco cruise, rooms generous decorated uniquely, hotel remodeled pacific bell building charm sturdiness, everytime walked bell men felt like coming home, secure, great single travelers, location fabulous, walk things pike market space needle.little grocery/drug store block away, today green, bravo, 1 double bed room room bed couch separated curtain, snoring mom slept curtain, great food nearby,  ",hotel stay hotel monaco cruis room gener decor uniqu hotel remodel pacif bell build charm sturdi everytim walk bell men felt like come home secur great singl travel locat fabul walk thing pike market space store block away today green bravo 1 doubl bed room room bed couch separ curtain snore mom slept curtain great food nearbi,0
"excellent stayed hotel monaco past w/e delight, reception staff friendly professional room smart comfortable bed, particularly liked reception small dog received staff guests spoke loved, mild negative distance uphill ppmarket restaurants 1st, overall great experience,  ",excel stay hotel monaco past delight recept staff friendli profession room smart comfort bed particularli like recept small dog receiv staff guest spoke love mild neg distanc uphil ppmarket restaur 1st overal great experi,0
